timestamp,open,high,low,close,volume
2025-08-21 03:45:00+00:00,45000.75,45014.95,44990.5,45000.3,981814
2025-08-21 03:50:00+00:00,45000.46,45015.03,44982.26,44996.64,975182
2025-08-21 03:55:00+00:00,44997.53,45008.94,44985.97,44998.9,998830
2025-08-21 04:00:00+00:00,44995.54,45016.32,44982.56,45001.98,948419
2025-08-21 04:05:00+00:00,45001.39,45014.29,44986.56,44994.91,1006270
2025-08-21 04:10:00+00:00,44988.62,45009.8,44975.59,44994.46,1004532
2025-08-21 04:15:00+00:00,44993.27,45002.81,44975.11,44988.64,1042435
2025-08-21 04:20:00+00:00,44988.56,45003.2,44976.48,44985.71,995532
2025-08-21 04:25:00+00:00,44985.87,45001.23,44972.76,44986.46,1054352
2025-08-21 04:30:00+00:00,44988.6,45000.67,44965.6,44980.57,1080016
2025-08-21 04:35:00+00:00,44977.57,44995.02,44966.98,44983.92,992449
2025-08-21 04:40:00+00:00,44983.75,45002.78,44971.03,44986.95,972974
2025-08-21 04:45:00+00:00,44985.79,44997.27,44974.27,44988.06,976828
2025-08-21 04:50:00+00:00,44990.31,45006.05,44977.86,44987.58,968215
2025-08-21 04:55:00+00:00,44982.59,45003.76,44973.54,44990.46,1050280
2025-08-21 05:00:00+00:00,44989.64,45006.08,44980.48,44993.52,1060941
2025-08-21 05:05:00+00:00,44992.76,45002.21,44977.04,44992.11,992109
2025-08-21 05:10:00+00:00,44992.08,45003.37,44978.04,44987.95,1026123
2025-08-21 05:15:00+00:00,44989.62,45002.0,44977.58,44988.16,999785
2025-08-21 05:20:00+00:00,44984.93,44999.03,44975.95,44990.79,918587
2025-08-21 05:25:00+00:00,44988.54,45002.06,44973.56,44989.87,966732
2025-08-21 05:30:00+00:00,44990.38,45001.23,44975.52,44987.68,991763
2025-08-21 05:35:00+00:00,44988.98,45006.25,44980.93,44990.79,1001411
2025-08-21 05:40:00+00:00,44991.43,45002.79,44972.35,44986.87,1007709
2025-08-21 05:45:00+00:00,44985.39,44999.63,44971.58,44987.52,954744
2025-08-21 05:50:00+00:00,44982.2,44991.64,44948.51,44959.28,2060538
2025-08-21 05:55:00+00:00,44961.22,44971.4,44910.58,44926.19,2099930
2025-08-21 06:00:00+00:00,44926.03,44938.2,44887.09,44902.26,1921988
2025-08-21 06:05:00+00:00,44900.9,44915.93,44865.66,44876.96,1949916
2025-08-21 06:10:00+00:00,44880.1,44892.25,44826.54,44842.14,2001064
2025-08-21 06:15:00+00:00,44841.33,44855.06,44796.63,44809.67,2116572
2025-08-21 06:20:00+00:00,44808.92,44818.54,44770.06,44778.47,2132324
2025-08-21 06:25:00+00:00,44775.83,44784.98,44763.0,44776.08,1056290
2025-08-21 06:30:00+00:00,44775.56,44786.01,44754.87,44770.56,1029397
2025-08-21 06:35:00+00:00,44770.74,44780.24,44762.25,44770.77,978429
2025-08-21 06:40:00+00:00,44768.0,44784.34,44759.09,44770.5,979716
